tipo,cruce,origen,destino,pago_operador,prioridad
PTT-00,,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),0.0,1
PTT-00,,SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),0.0,1
LOC-02,,"COFICAB LEON, S. DE R.L. DE C.V. / PLANTA JUAREZ",GYSA JUAREZ JDC,250.0,1
LOC-02,,XYLEM,IMPULSORA GANE,125.0,1
E-VACIO,PUENTE AMERICAS,ELECTROLUX / LAVADORAS,ARIES WORLDWIDE LOGISTICS C/O,500.0,10
LOC-01,,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,125.0,1
LOC-03,,KORIMA / KUNA LOOP,ROBERTS CONSOLIDATES,250.0,1
PTT-08,,BASE SOTELO CHIHUAHUA,FOKKER,0.0,1
VAC-00,PUENTE AMERICAS,ELECTROLUX / REFRIGERADORES,STAGECOACH / 5850 WELCH AVE.,500.0,10
PTT-00,,HOTEL RED ROOF INN CHITO SAMANIEGO DR,RIO BRAVO INTERNACIONAL,0.0,1
S-TER-01,PUENTE STA TERESA,GYSA JUAREZ JDC,18 LEIGH FISHER,1500.0,10
PTT-00,,NORDAM,XYLEM,0.0,1
LOC-01,,GYSA JUAREZ 1,FLETES SOTELO,125.0,1
E-VACIO,PUENTE ZARAGOZA,FLETES SOTELO,RIO BRAVO INTERNACIONAL,250.0,10
PTT-00,,SHELTER AIN SERVICIOS,FLETES SOTELO,0.0,1
EXP-02,PUENTE ZARAGOZA,FLETES SOTELO,FEDEX GROUND,500.0,10
PTT-00,,XYLEM,BASE SOTELO CHIHUAHUA,0.0,1
MDC-01,,BASE SOTELO CHIHUAHUA,NORDAM,125.0,1
PTT-00,,MELTON,P Y H TRAILER ENTERPRISES INC,0.0,1
LOC-01,,FLETES SOTELO,SHELTER AIN SERVICIOS,125.0,1
L-VAC-05,PUENTE STA TERESA,ELECTROLUX / REFRIGERADORES,STANCO METAL PRODUCTS,750.0,10
PTT-00,,MESILLA VALLEY TRANSPORTATION,P Y H TRAILER ENTERPRISES INC,0.0,1
I-VACIO,PUENTE ZARAGOZA,MESILLA VALLEY TRANSPORTATION,ELECTROLUX / PRODUCTO TERMINADO,375.0,10
PTT-00,PUENTE AMERICAS,FLETES SOTELO,KORIMA / KUNA LOOP,0.0,10
LOC-04,,"TMX LOGISTICS, INC.",KORIMA / KUNA LOOP,250.0,1
LOC-01,,FIGEAC,BASE SOTELO CHIHUAHUA,125.0,1
FAL-00,PUENTE ZARAGOZA,FLETES SOTELO,EASTLAKE LOGISTICS PARK,250.0,10
LOC-01,,SAFRAN PLANTA 5 / LSM/ LIGHTING SOLUTIONS (IDD),BASE SOTELO CHIHUAHUA,125.0,1
LOC-02,,FLETES SOTELO,GYSA JUAREZ JDC,250.0,1
PTT-00,,FLETES SOTELO,GYSA JUAREZ JDC,0.0,1
TRI-QMS,PUENTE ZARAGOZA,RIO BRAVO INTERNACIONAL,PRECOS ZARAGOZA,1000.0,10
LOC-04,,KORIMA / KUNA LOOP,RIO BRAVO INTERNACIONAL,125.0,1
LOC-02,,SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),SAFRAN PLANTA 5 / LSM/ LIGHTING SOLUTIONS (IDD),125.0,1
LOC-01,,FLETES SOTELO,"COFICAB LEON, S. DE R.L. DE C.V. / PLANTA JUAREZ",375.0,1
LOC-02,,SAFRAN PLANTA 3 /IMX/ ELECTRICAL COMPONENTS(ICORE),SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),125.0,1
PTT-00,,IMPULSORA GANE,BASE SOTELO CHIHUAHUA,0.0,1
LOC-02,,SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),125.0,1
MDC-01,,FLETES SOTELO,GYSA JUAREZ 5,125.0,1
MDC-01,,FLETES SOTELO,GYSA JUAREZ 4,250.0,1
LOC-02,,SAFRAN PLANTA 5 / LSM/ LIGHTING SOLUTIONS (IDD),SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),125.0,1
MDC-01,,BASE SOTELO CHIHUAHUA,FIGEAC,125.0,1
MDC-01,,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 5 / ELM / ELECTRIC MEXICO (SEPS),125.0,1
LOC-04,,EXPEDITORS  #1,KORIMA / KUNA LOOP,125.0,1
TRE-02,PUENTE ZARAGOZA,FLETES SOTELO,EXPEDITORS  #1,500.0,10
TRI-02,PUENTE ZARAGOZA,ESCOTO CUSTOMS BROKERS INC,PRECOS ZARAGOZA,500.0,10
MDC-01,,GYSA JDC,GYSA JUAREZ 3,250.0,1
PTT-00,,YAZAKI COMPONENTES PLANTA 3,BASE SOTELO CHIHUAHUA,0.0,1
LOC-01,,DTR,BASE SOTELO CHIHUAHUA,125.0,1
TRE-02,PUENTE ZARAGOZA,13699 GATEWAY WEST,KORIMA / KUNA LOOP,250.0,10
LOC-04,,FLETES SOTELO,13699 GATEWAY WEST,375.0,1
MDC-01,,GYSA JUAREZ 1,FLETES SOTELO,125.0,1
