Coordenada,Origen,Destino,Tipo,Cruce, pago 
2903568-4,GGLOBAL,FLETES SOTELO,TRI-QMS,PUENTE ZARAGOZA," $1,200.00 "
2903675-4,KORIMA / KUNA LOOP,SHELTER AIN SERVICIOS,IMP-02,PUENTE ZARAGOZA, $500.00 
2903675-3,BODEGA NUEVA RIO BRAVO,KORIMA / KUNA LOOP,LOC-03,, $125.00 
2903629-2,EMERALD PASS DR.,13699 GATEWAY WEST,PTT-00,, $-   
2903675-2,18 LEIGH FISHER,BODEGA NUEVA RIO BRAVO,PTT-00,, $-   
2903746-1,CFI LOGISTICA,18 LEIGH FISHER,PTT-00,, $-   
2903717-2,ARIES WORLDWIDE LOGISTICS C/O,ELECTROLUX / REFRIGERADORES,IMP-01,PUENTE ZARAGOZA, $625.00 
2903737-1,FORTUNE PLASTIC & METAL /1119 PENDALE,GYSA JUAREZ 5,LOC-01,, $125.00 
2903451-8,LEGRAND DPC,UNI-TRADE FORWARDING LC,LOC-04,, $625.00 
2903698-2,GYSA JUAREZ 5,FORTUNE PLASTIC AND METAL DE CHIHUAHUA S.A DE C.V,LOC-02,, $250.00 
2903572-2,IBCA LOGYSTICS,FLETES MEXICO,TRI-02,PUENTE ZARAGOZA, $500.00 
2903678-1,MESILLA VALLEY TRANSPORTATION,ARIES WORLDWIDE LOGISTICS C/O,PTT-00,, $-   
2903706-1,SUMITOMO ELECTRIC WIRING,ELLIOT TAPE 28 WALTER JONES,LOC-03,, $250.00 
2903179-4,FORTUNE PLASTIC AND METAL DE CHIHUAHUA S.A DE C.V,FLETES SOTELO,PTT-00,, $-   
2903670-1,KORIMA / KUNA LOOP,P Y H TRAILER ENTERPRISES INC,MDC-01,, $250.00 
2903705-1,APEX DIVERSIFIED / ESTHER LAMA,SUMITOMO ELECTRIC WIRING,LOC-03,, $375.00 
2903699-2,SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,LOC-01,, $125.00 
2903463-3,DARTAEROSPACE,BASE SOTELO CHIHUAHUA,MDC-01,, $125.00 
2903704-1,950 LOMA VERDE,APEX DIVERSIFIED / ESTHER LAMA,LOC-03,, $125.00 
2903703-1,FEDERAL-MOGUL EL PASO,950 LOMA VERDE,LOC-03,, $125.00 
2903628-1,SHELTER AIN SERVICIOS,GYSA JUAREZ 3,PTT-00,, $-   
2903922-2,FLETES SOTELO,HONEYWELL 2,MDC-01,, $125.00 
2903179-2,APTIV / RIO BRAVO 7 FV32,GYSA JUAREZ 5,PTT-00,, $-   
2903615-9,KORIMA / KUNA LOOP,FLETES SOTELO,I-VACIO,, $250.00 
2903702-1,ADVANCED PAPERWORKS,FEDERAL-MOGUL EL PASO,LOC-03,, $250.00 
2903922-1,HONEYWELL 2,FLETES SOTELO,MDC-01,, $125.00 
2903701-2,BROKERS LOGISTICS LTD / 1000 HAWKINS,ADVANCED PAPERWORKS,LOC-03,, $250.00 
2903463-2,BASE SOTELO CHIHUAHUA,DARTAEROSPACE,PTT-00,, $-   
2903580-5,GYSA  CDJ,FLETES SOTELO,LOC-02,, $250.00 
2903010-5,P Y H TRAILER ENTERPRISES INC,KORIMA / KUNA LOOP,PTT-00,, $-   
2903701-1,KORIMA / KUNA LOOP,BROKERS LOGISTICS LTD / 1000 HAWKINS,LOC-04,, $250.00 
2903568-2,GGLOBAL,KORIMA / KUNA LOOP,PTT-00,, $-   
2903636-2,FLETES SOTELO,ELECTROLUX / ESTAMPADOS,MDC-01,, $375.00 
2903761-1,GYSA JUAREZ 5,GYSA  CDJ,PTT-00,, $-   
