Coordenada,Origen,Destino,Tipo,Cruce, pago 
2903971-5,BODEGA NUEVA XOMOX,BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2905304-2,FEDERAL-MOGUL EL PASO,DELFINGEN US-TEXAS,LOC-03,, $125.00 
2904776-12,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C3,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,MDC-01,, $125.00 
2905366-2,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LEAR SAN LORENZO,LOC-01,, $250.00 
2905387-1,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LEAR RIO BRAVO,LOC-01,, $125.00 
2905304-1,KORIMA / KUNA LOOP,FEDERAL-MOGUL EL PASO,LOC-04,, $125.00 
2904781-4,KORIMA / KUNA LOOP,EASTLAKE LOGISTICS PARK,LOC-03,, $250.00 
2904805-4,BASE SOTELO CHIHUAHUA,XYLEM,MDC-01,, $125.00 
2904606-5,ARNPRIOR AEROSPACE CHIHUAHUA,BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2905332-2,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,GEN,FOR-02,, $375.00 
2905031-1,FLETES SOTELO,GYSA JUAREZ 5,LOC-01,, $125.00 
2905032-4,BASE SOTELO CHIHUAHUA,CMMG INDUTRIAS DE PRECISION S.A DE C.V/PLANTA CHAN,MDC-01,, $125.00 
2905031-2,GYSA JUAREZ 5,GYSA JUAREZ 4,LOC-02,, $125.00 
2905028-1,FLETES SOTELO,RIO BRAVO INTERNACIONAL,PTT-00,PUENTE AMERICAS, $-   
2904606-4,BASE SOTELO CHIHUAHUA,ARNPRIOR AEROSPACE CHIHUAHUA,MDC-01,, $125.00 
2904610-5,SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),LOC-02,, $125.00 
2905386-1,FLETES SOTELO,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,PTT-00,, $-   
2904779-12,BASE SOTELO CHIHUAHUA,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,MDC-01,, $125.00 
2905224-1,FLETES SOTELO,NA KELLY,PTT-00,PUENTE ZARAGOZA, $-   
2904776-9,BASE SOTELO CHIHUAHUA,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C3,MDC-01,, $125.00 
2904797-4,CESSNA PLANTA 4.1,BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2904627-16,GYSA JDC,FLETES SOTELO,MDC-01,, $250.00 
2905005-4,APTIV / RIO BRAVO 7 FV32,FLETES SOTELO,LOC-01,, $250.00 
2904981-2,APTIV RIO BRAVO 1 FV39,FLETES SOTELO,PTT-00,, $-   
2891349-12,PHINIA / BERMUDEZ,FLETES SOTELO,LOC-01,, $125.00 
2904627-13,GYSA JUAREZ 4,GYSA  CDJ,MDC-01,, $125.00 
2904678-3,NA KELLY,FLETES SOTELO,PTT-00,PUENTE AMERICAS, $-   
2891349-11,GYSA JUAREZ 3,PHINIA / BERMUDEZ,PTT-00,, $-   
2904956-1,IBCA LOGYSTICS,NA KELLY,PTT-00,, $-   
2904609-10,SOUTHCO.,BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2905162-1,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C3,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,LOC-02,, $125.00 
2904478-5,13699 GATEWAY WEST,18 LEIGH FISHER,LOC-04,, $375.00 
2904609-9,BASE SOTELO CHIHUAHUA,SOUTHCO.,PTT-00,, $-   
2904925-2,GYSA JUAREZ JDC,FLETES SOTELO,PTT-00,, $-   
2904976-2,UNI-TRADE FORWARDING LC,FLETES SOTELO,IMP-02,PUENTE ZARAGOZA, $500.00 
2904627-10,GYSA JUAREZ 1,GYSA JDC,MDC-01,, $250.00 
2904678-2,PRECOS ZARAGOZA,NA KELLY,TRE-02,PUENTE ZARAGOZA, $500.00 
2904929-1,FLETES SOTELO,13699 GATEWAY WEST,PTT-00,, $-   
2905161-1,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C3,LOC-02,, $250.00 
2904976-1,KORIMA / KUNA LOOP,UNI-TRADE FORWARDING LC,PTT-00,, $-   
2904944-1,FLETES SOTELO,13699 GATEWAY WEST,PTT-00,PUENTE AMERICAS, $-   
2904823-1,GYSA  CDJ,13699 GATEWAY WEST,PTT-00,PUENTE ZARAGOZA, $-   
2904781-3,FLETES SOTELO,KORIMA / KUNA LOOP,TRE-QMS,PUENTE ZARAGOZA," $1,000.00 "
2904905-1,FLETES SOTELO,13699 GATEWAY WEST,PTT-00,PUENTE ZARAGOZA, $-   
2904976-3,FLETES SOTELO,PHINIA / BERMUDEZ,LOC-02,, $125.00 
2904817-2,GYSA  CDJ,13699 GATEWAY WEST,EXP-02,PUENTE ZARAGOZA, $500.00 
2904627-9,FLETES SOTELO,GYSA JUAREZ 1,MDC-01,, $125.00 
2904816-2,KORIMA / KUNA LOOP,SMTC PULLMAN,PTT-00,, $-   
2904609-8,SOUTHCO.,BASE SOTELO CHIHUAHUA,PTT-00,, $-   
2904890-1,GYSA  CDJ,GYSA JUAREZ 4,PTT-00,, $-   
2904957-1,FLETES SOTELO,18 LEIGH FISHER,PTT-00,, $-   
2904967-3,SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),BASE SOTELO CHIHUAHUA,PTT-00,, $-   
2904609-7,BASE SOTELO CHIHUAHUA,SOUTHCO.,MDC-01,, $125.00 
2904058-4,BASE SOTELO CHIHUAHUA,NORDAM,PTT-00,, $-   
2903970-5,BASE SOTELO CHIHUAHUA,BODEGA NUEVA XOMOX,PTT-00,, $-   
2904200-1,18 LEIGH FISHER,GYSA JUAREZ 1,TRI-02,PUENTE ZARAGOZA, $500.00 
2905057-1,TORO COMPANY DE MEXICO PLANTA 2,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LOC-02,, $125.00 
2905141-1,FLEXSTEEL TECMA PLANTA 18,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LOC-02,, $125.00 
2905056-1,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,TORO COMPANY DE MEXICO PLANTA 2,LOC-01,, $125.00 
2904854-2,ARIES WORLDWIDE LOGISTICS C/O,ELECTROLUX / LAVADORAS,IMP-01,PUENTE ZARAGOZA, $500.00 
2904842-2,ARIES WORLDWIDE LOGISTICS C/O,ELECTROLUX / PLASTICOS,IMP-01,PUENTE ZARAGOZA, $625.00 
2904854-1,P Y H TRAILER ENTERPRISES INC,ARIES WORLDWIDE LOGISTICS C/O,PTT-00,, $-   
2905136-1,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,FLEXSTEEL TECMA PLANTA 18,LOC-01,, $125.00 
2904848-2,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,KORIMA / KUNA LOOP,EXP-02,PUENTE ZARAGOZA, $500.00 
2904928-1,SAFRAN PLANTA 1 /EMX/ EVACUATION SY (AIR CRUSIERS),DTR,PTT-00,, $-   
2905055-1,HONEYWELL OPTOELECTRICA,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LOC-02,, $250.00 
2904386-3,18 LEIGH FISHER,KORIMA / KUNA LOOP,LOC-04,, $250.00 
2905135-1,CEWS,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LOC-02,, $125.00 
2904169-12,APTIV / RIO BRAVO 7 FV32,GYSA  CDJ,LOC-01,, $250.00 
2904880-1,FLETES SOTELO,CFI,PTT-00,PUENTE AMERICAS, $-   
2905074-1,LEAR LAS TORRES,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,PTT-01,, $-   
2904482-3,18 LEIGH FISHER,KORIMA / KUNA LOOP,PTT-00,, $-   
2904169-11,GYSA  CDJ,APTIV / RIO BRAVO 7 FV32,PTT-00,, $-   
2904887-2,XYLEM,BASE SOTELO CHIHUAHUA,MDC-01,, $125.00 
2904779-10,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,MDC-01,, $250.00 
2904848-6,KORIMA / KUNA LOOP,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,I-VACIO,, $250.00 
2904848-5,ROBERTS CONSOLIDATES,KORIMA / KUNA LOOP,MDC-01,, $250.00 
2904887-1,SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),XYLEM,PTT-00,, $-   
2904816-1,KORIMA / KUNA LOOP,SMTC PULLMAN,LOC-04,, $125.00 
2904712-7,DSV,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,MDC-01,, $125.00 
2905054-1,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,HONEYWELL OPTOELECTRICA,LOC-01,, $250.00 
2905035-1,ELLIOT TAPE 28 WALTER JONES,18 LEIGH FISHER,LOC-03,, $125.00 
2904826-1,FLETES SOTELO,GYSA  CDJ,LOC-01,, $250.00 
2904187-3,GYSA JUAREZ 1,18 LEIGH FISHER,S-TER-02,PUENTE STA TERESA," $1,500.00 "
2905196-1,SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2904832-3,SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),BASE SOTELO CHIHUAHUA,PTT-00,, $-   
2905132-1,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,CEWS,LOC-01,, $125.00 
2905034-1,M Y N PLASTICS,ELLIOT TAPE 28 WALTER JONES,LOC-03,, $375.00 
2904712-6,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,DSV,MDC-01,, $125.00 
2904818-10,SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),BASE SOTELO CHIHUAHUA,MDC-01,, $125.00 
2904818-9,SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),MDC-01,, $125.00 
2904818-8,SAFRAN PLANTA 5 / LSM/ LIGHTING SOLUTIONS (IDD),SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),MDC-01,, $125.00 
2904818-7,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 5 / LSM/ LIGHTING SOLUTIONS (IDD),MDC-01,, $125.00 
2904832-2,SAFRAN BODEGA COMPLEJO,SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),LOC-02,, $125.00 
2904849-1,IMPULSORA GANE,XYLEM,LOC-02,, $125.00 
2904168-2,NORDAM,XOMOX CHIHUAHUA S.A DE C.V.,PTT-00,, $-   
2904832-1,BASE SOTELO CHIHUAHUA,SAFRAN BODEGA COMPLEJO,PTT-00,, $-   
2904069-6,CESSNA PLANTA 4.3,BASE SOTELO CHIHUAHUA,LOC-01,, $125.00 
2905066-1,LEAR RIO BRAVO,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LOC-02,, $125.00 
2904187-2,KORIMA / KUNA LOOP,GYSA JUAREZ 1,PTT-00,PUENTE AMERICAS, $-   
2904790-1,ARIES WORLDWIDE LOGISTICS C/O,ELECTROLUX / REFRIGERADORES,I-VACIO,PUENTE ZARAGOZA, $375.00 
2905033-2,FEDERAL-MOGUL EL PASO,M Y N PLASTICS,LOC-03,, $375.00 
2904807-2,FLETES SOTELO,ELECTROLUX / PRODUCTO TERMINADO,MDC-01,, $375.00 
2904801-1,FLETES SOTELO,GYSA JUAREZ 3,LOC-01,, $125.00 
2904609-4,KORIMA / KUNA LOOP,RIO BRAVO INTERNACIONAL,PTT-00,, $-   
2904069-5,BASE SOTELO CHIHUAHUA,CESSNA PLANTA 4.3,LOC-02,, $125.00 
2904779-8,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,BASE SOTELO CHIHUAHUA,MDC-01,, $250.00 
2904493-7,ATLAS AEROSPACE,BASE SOTELO CHIHUAHUA,PTT-00,, $-   
2904693-1,ELECTROLUX / REFRIGERADORES,ARIES WORLDWIDE LOGISTICS C/O,QMS-01,PUENTE ZARAGOZA," $1,000.00 "
2904790-2,P Y H TRAILER ENTERPRISES INC,MESILLA VALLEY TRANSPORTATION,MDC-01,, $125.00 
2904493-6,BASE SOTELO CHIHUAHUA,ATLAS AEROSPACE,MDC-01,, $125.00 
2904600-5,SAFRAN CABIN,BASE SOTELO CHIHUAHUA,PTT-00,, $-   
2904069-4,CESSNA PLANTA 4.1,BASE SOTELO CHIHUAHUA,LOC-02,, $125.00 
2904780-1,FLETES SOTELO,APTIV / RIO BRAVO 7 FV32,MDC-01,, $250.00 
2904778-3,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,BASE SOTELO CHIHUAHUA,PTT-00,, $-   
2904609-3,RIO BRAVO INTERNACIONAL,KORIMA / KUNA LOOP,PTT-00,, $-   
2904609-2,RIO BRAVO INTERNACIONAL,PRECOS ZARAGOZA,FAL-00,, $250.00 
2904736-2,RIO BRAVO INTERNACIONAL,FLETES SOTELO,IMP-02,PUENTE ZARAGOZA, $500.00 
2904774-3,GYSA JUAREZ 5,FLETES SOTELO,LOC-01,, $250.00 
2904773-1,KORIMA / KUNA LOOP,FLETES SOTELO,I-VACIO,PUENTE AMERICAS, $250.00 
2904778-2,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,LOC-02,, $250.00 
2904278-6,KORIMA / KUNA LOOP,FLETES SOTELO,PTT-00,, $-   
2904603-3,RIO BRAVO INTERNACIONAL,FLETES SOTELO,TRI-QMS,PUENTE ZARAGOZA," $1,000.00 "
2904778-1,ELECTROCOMPONENTES DE MEXICO S.A DE C.V  / C1,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,PTT-00,, $-   
2904756-1,KORIMA / KUNA LOOP,NA KELLY,PTT-00,, $-   
2904260-8,EXPEDITORS #2,KORIMA / KUNA LOOP,LOC-04,, $125.00 
2904600-3,GGLOBAL,FLETES SOTELO,TRI-02,PUENTE ZARAGOZA, $500.00 
2904446-4,FLETES SOTELO,EXPEDITORS #2,S-TER-02,PUENTE STA TERESA," $1,500.00 "
2904447-4,FLETES SOTELO,EXPEDITORS  #1,S-TER-02,PUENTE STA TERESA," $1,500.00 "
2904657-1,APTIV RIO BRAVO 1 FV39,GYSA JUAREZ 4,PTT-00,, $-   
2904627-2,FLETES SOTELO,GYSA JDC,MDC-01,, $250.00 
2904600-2,KORIMA / KUNA LOOP,GGLOBAL,PTT-00,, $-   
2904720-1,NA KELLY,SMTC PULLMAN,PTT-00,, $-   
2904747-1,SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),IMPULSORA GANE,PTT-00,, $-   
2904600-1,KORIMA / KUNA LOOP,GGLOBAL,LOC-04,, $250.00 
2904893-1,TORO COMPANY DE MEXICO PLANTA 3,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LOC-02,, $125.00 
2904744-2,SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,LOC-02,, $125.00 
2904592-2,RECINTO FISCAL - PUENTE ZARAGOZA,PRECOS ZARAGOZA,TRI-02,PUENTE ZARAGOZA, $500.00 
2904221-4,IMPULSORA GANE,SMTC PLANTA 1,PTT-00,, $-   
2904744-1,IMPULSORA GANE,SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),PTT-00,, $-   
2904891-1,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,TORO COMPANY DE MEXICO PLANTA 3,LOC-01,, $125.00 
2904612-2,48 WALTER JONES,RIO BRAVO INTERNACIONAL,PTT-00,, $-   
2904249-8,UNI-TRADE FORWARDING LC,NA KELLY,PTT-00,, $-   
2904137-2,13699 GATEWAY WEST,RIO BRAVO INTERNACIONAL,PTT-00,, $-   
2904277-8,EXPEDITORS  #1,UNI-TRADE FORWARDING LC,LOC-04,, $250.00 
2903832-4,GYSA JUAREZ 2,FLETES SOTELO,PTT-00,, $-   
2904736-1,KORIMA / KUNA LOOP,RIO BRAVO INTERNACIONAL,LOC-01,PUENTE ZARAGOZA, $125.00 
2903970-1,KORIMA / KUNA LOOP,IBCA LOGYSTICS,PTT-00,, $-   
2904478-2,GYSA JUAREZ 1,KORIMA / KUNA LOOP,EXP-02,PUENTE ZARAGOZA, $500.00 
2903832-3,GYSA JUAREZ 1,GYSA JUAREZ 2,LOC-02,, $125.00 
2904255-2,NA KELLY,APTIV / RIO BRAVO 7 FV32,IMP-02,PUENTE ZARAGOZA, $500.00 
2904871-1,EAGLE OTAWA / ANTONIO J. BERMUDEZ,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LOC-02,, $250.00 
2904646-2,PKC GROUP  / FRESNEL 7650,GYSA JUAREZ JDC,LOC-02,, $250.00 
2904663-2,YARDA ARIES,STANCO METAL PRODUCTS,LOC-04,, $125.00 
2904482-2,GYSA JUAREZ 3,KORIMA / KUNA LOOP,EXP-02,PUENTE ZARAGOZA, $500.00 
2904688-1,SMTC PLANTA 1,XYLEM,PTT-00,, $-   
2904277-6,EXPEDITORS  #1,EXPEDITORS #2,LOC-03,, $125.00 
2904867-1,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,EAGLE OTAWA / ANTONIO J. BERMUDEZ,LOC-01,, $250.00 
2903251-7,FLETES SOTELO,EMERALD PASS DR.,TRE-02,PUENTE ZARAGOZA, $500.00 
2904676-2,SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),SAFRAN BODEGA COMPLEJO,LOC-02,, $125.00 
2904663-1,ARIES WORLDWIDE LOGISTICS C/O,YARDA ARIES,PTT-00,, $-   
2904020-6,GYSA JUAREZ 2,GYSA JUAREZ 1,LOC-01,, $125.00 
2904676-1,SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),PTT-00,, $-   
2904229-6,FLETES SOTELO,KORIMA / KUNA LOOP,EXP-02,PUENTE ZARAGOZA, $500.00 
2904658-7,IBCA LOGYSTICS,KORIMA / KUNA LOOP,LOC-04,, $250.00 
2904661-3,FOKKER,BASE SOTELO CHIHUAHUA,PTT-08,, $-   
2904673-1,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),LOC-01,, $125.00 
2902709-4,APTIV RIO BRAVO 1 FV39,PHINIA / BERMUDEZ,PTT-00,, $-   
2904863-1,GENASCO,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LOC-02,, $250.00 
2904646-1,FLETES SOTELO,PKC GROUP  / FRESNEL 7650,LOC-01,, $125.00 
2904319-5,APTIV RIO BRAVO 4 FV33,FLETES SOTELO,LOC-01,, $125.00 
2904643-1,ELECTROLUX / PRODUCTO TERMINADO,MESILLA VALLEY TRANSPORTATION,PTT-00,PUENTE ZARAGOZA, $-   
2904638-1,ELECTROLUX / PRODUCTO TERMINADO,ARIES WORLDWIDE LOGISTICS C/O,PTT-00,PUENTE ZARAGOZA, $-   
2904621-1,FLETES SOTELO,APTIV RIO BRAVO 1 FV39,LOC-01,, $125.00 
2904266-4,FLETES SOTELO,13699 GATEWAY WEST,EXP-02,PUENTE ZARAGOZA, $500.00 
2904860-1,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,GENASCO,LOC-01,, $250.00 
2904629-2,SAFRAN PLANTA 2 /SMX/ SEATS MEXICO (WEBER),SAFRAN PLANTA 6 / SEM/ SAFRAN AEROSYTEMS MEXICO,LOC-01,, $125.00 
2904624-3,GYSA JDC,GYSA JUAREZ 4,MDC-01,, $125.00 
2904319-4,FLETES SOTELO,APTIV RIO BRAVO 4 FV33,LOC-02,, $125.00 
2904901-1,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,TORO COMPANY DE MEXICO PLANTA 2,LOC-02,, $125.00 
2904645-1,FOKKER,DTR,PTT-00,, $-   
2904498-2,FLETES SOTELO,APTIV / RIO BRAVO 7 FV32,LOC-02,, $250.00 
2904608-1,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),LOC-01,, $125.00 
2904644-1,BASE SOTELO CHIHUAHUA,FOKKER,VAC-04,, $125.00 
2904589-1,ELECTROLUX / REFRIGERADORES,STAGECOACH / 5850 WELCH AVE.,VAC-00,PUENTE ZARAGOZA, $500.00 
2904592-5,NORDAM,BASE SOTELO CHIHUAHUA,PTT-00,, $-   
2904779-1,BASE SOTELO CHIHUAHUA,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,TRL-00,, $-   
2904776-1,BASE SOTELO CHIHUAHUA,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C3,TRL-00,, $-   
2904774-2,GYSA JUAREZ 5,FLETES SOTELO,PTT-00,, $-   
2904479-3,YAZAKI COMPONENTES PLANTA 3,SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),PTT-00,, $-   
2904566-1,BASE SOTELO CHIHUAHUA,YAZAKI COMPONENTES PLANTA 3,LOC-01,, $125.00 
2904417-3,"COFICAB LEON, S. DE R.L. DE C.V. / PLANTA JUAREZ",FLETES SOTELO,LOC-02,, $375.00 
2904444-2,ADUANA MEXICANAPTE ZARAGOZA,ELECTROLUX / PRODUCTO TERMINADO,LOC-02,, $250.00 
2904561-1,MESILLA VALLEY TRANSPORTATION,ELECTROLUX / PRODUCTO TERMINADO,I-VACIO,PUENTE AMERICAS, $500.00 
2904090-7,PUENTE  ZARAGOZA,FLETES SOTELO,LOC-02,, $250.00 
2903984-7,FLETES SOTELO,PRECOS ZARAGOZA,LOC-02,, $250.00 
2904493-3,RIO BRAVO INTERNACIONAL,FLETES SOTELO,PTT-00,, $-   
2904249-7,NA KELLY,ELECTROLUX / REFRIGERADORES,PTT-00,, $-   
2904493-2,RIO BRAVO INTERNACIONAL,FLETES SOTELO,FAL-00,PUENTE ZARAGOZA, $250.00 
2904560-2,"COFICAB LEON, S. DE R.L. DE C.V. / PLANTA JUAREZ",FLETES SOTELO,MDC-01,, $375.00 
2904249-6,PUENTE  ZARAGOZA,PUENTE  ZARAGOZA,LOC-03,, $250.00 
2904249-5,NA KELLY,PUENTE  ZARAGOZA,LOC-03,, $250.00 
2904249-4,P Y H TRAILER ENTERPRISES INC,NA KELLY,PTT-00,PUENTE ZARAGOZA, $-   
2904444-1,ELECTROLUX / PRODUCTO TERMINADO,ADUANA MEXICANAPTE ZARAGOZA,LOC-02,, $250.00 
2904383-2,FLETES SOTELO,PRECOS ZARAGOZA,LOC-02,PUENTE ZARAGOZA, $250.00 
2904498-1,NA KELLY,FLETES SOTELO,IMP-02,PUENTE ZARAGOZA, $500.00 
2904344-7,GYSA JUAREZ JDC,ELECTROLUX / PRODUCTO TERMINADO,PTT-00,, $-   
2904266-2,GYSA JUAREZ 1,PUENTE  ZARAGOZA,LOC-02,, $250.00 
2904466-1,MESILLA VALLEY TRANSPORTATION,MELTON,PTT-00,, $-   
2904264-5,FLETES SOTELO,PUENTE  ZARAGOZA,LOC-02,PUENTE ZARAGOZA, $250.00 
2904344-6,KORIMA / KUNA LOOP,GYSA JUAREZ JDC,IMP-02,PUENTE ZARAGOZA, $500.00 
2904181-4,FLETES SOTELO,PUENTE  ZARAGOZA,LOC-02,, $250.00 
2904077-4,FLETES SOTELO,KORIMA / KUNA LOOP,PTT-00,PUENTE ZARAGOZA, $-   
2904306-5,KORIMA / KUNA LOOP,FLETES SOTELO,TRI-QMS,PUENTE ZARAGOZA," $1,000.00 "
2904344-5,MESILLA VALLEY TRANSPORTATION,KORIMA / KUNA LOOP,PTT-00,, $-   
2904560-1,FLETES SOTELO,"COFICAB LEON, S. DE R.L. DE C.V. / PLANTA JUAREZ",MDC-01,, $375.00 
2904479-1,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 3 /WWM/ WATER & WASTE MEX (MONOGRAM),LOC-01,, $125.00 
2904351-2,KORIMA / KUNA LOOP,FLETES SOTELO,IMP-02,PUENTE ZARAGOZA, $500.00 
2904593-3,GYSA JUAREZ 2,GYSA JUAREZ 1,MDC-01,, $125.00 
2904593-2,FLETES SOTELO,GYSA JUAREZ 2,MDC-01,, $125.00 
2904523-1,FLETES SOTELO,HONEYWELL 2,LOC-01,, $125.00 
2904448-3,ELECTROCOMPONENTES DE MEXICO S.A DE C.V / C2,BASE SOTELO CHIHUAHUA,LOC-01,, $250.00 
2904426-2,APTIV / RIO BRAVO 7 FV32,FLETES SOTELO,MDC-01,PUENTE ZARAGOZA, $250.00 
2904436-1,SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),ADIENT APASEO EL GRANDE,LOC-02,, $125.00 
2903463-6,EMERALD PASS DR.,13699 GATEWAY WEST,LOC-04,, $125.00 
2904435-1,BASE SOTELO CHIHUAHUA,SAFRAN PLANTA 4 /SHM/ SEAT SHELLS MEXICO (SHELLS),PTT-00,, $-   
2904539-1,TORO COMPANY DE MEXICO PLANTA 1,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LOC-02,, $125.00 
2904425-3,GYSA JUAREZ 3,FLETES SOTELO,LOC-01,, $125.00 
2904306-3,ESCOTO CUSTOMS BROKERS INC,PRECOS ZARAGOZA,FAL-00,PUENTE ZARAGOZA, $500.00 
2904306-4,ESCOTO CUSTOMS BROKERS INC,KORIMA / KUNA LOOP,LOC-02,, $250.00 
2904522-1,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,FLETES SOTELO,LOC-01,, $250.00 
2904417-4,"COFICAB LEON, S. DE R.L. DE C.V. / PLANTA JUAREZ",FLETES SOTELO,LOC-01,, $375.00 
2904344-4,KORIMA / KUNA LOOP,ELECTROLUX / ESTAMPADOS,PTT-00,PUENTE AMERICAS, $-   
2904537-1,HONEYWELL HPS,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,LOC-02,, $250.00 
2904403-1,KORIMA / KUNA LOOP,13699 GATEWAY WEST,LOC-04,, $250.00 
2904303-2,GYSA  CDJ,ELECTROLUX / REFRIGERADORES,MDC-01,, $250.00 
2904351-1,18 LEIGH FISHER,KORIMA / KUNA LOOP,LOC-03,, $250.00 
2904239-5,NA KELLY,ELECTROLUX / REFRIGERADORES,PTT-00,PUENTE AMERICAS, $-   
2904245-5,GYSA JUAREZ 5,GYSA JUAREZ 2,LOC-02,, $250.00 
2904014-3,PRECOS ZARAGOZA,FLETES SOTELO,LOC-02,, $250.00 
2904534-1,ENVITA SUSTAINABILITY SOLUTIONS MEXICO,HONEYWELL HPS,LOC-01,, $250.00 
2903698-5,FORTUNE PLASTIC AND METAL DE CHIHUAHUA S.A DE C.V,FLETES SOTELO,LOC-01,, $125.00 
2903733-7,13699 GATEWAY WEST,FLETES SOTELO,PTT-00,, $-   
2903895-6,LEGRAND DPC,KORIMA / KUNA LOOP,LOC-04,, $625.00 
2903698-4,GYSA JUAREZ 1,FORTUNE PLASTIC AND METAL DE CHIHUAHUA S.A DE C.V,PTT-00,, $-   
2904239-4,LEGRAND DPC,NA KELLY,LOC-04,, $625.00 
2904169-3,NA KELLY,APTIV / RIO BRAVO 7 FV32,FAL-00,PUENTE ZARAGOZA, $250.00 
2904040-3,GYSA JUAREZ 5,GYSA JUAREZ 4,LOC-01,, $125.00 
2904249-3,NA KELLY,APTIV RIO BRAVO 1 FV39,FAL-00,PUENTE ZARAGOZA, $250.00 
